transect,class,x,y,lon,lat,nasc
5,BT,590.0,6200.0,-163.63796191818184,55.93649171818181,127.33969627272728
5,BT,590.0,6190.0,-163.63869689999999,55.84827595999999,45.48960960000001
5,BT,590.0,6180.0,-163.6392625,55.76016589090909,7.7978047272727276
5,BT,590.0,6170.0,-163.63974203636363,55.66791748181818,16.49342154545454
5,BT,590.0,6160.0,-163.64078220000002,55.57977092,28.1237531
5,BT,590.0,6150.0,-163.64137173636365,55.49143603636364,69.17772572727273
5,BT,590.0,6140.0,-163.6425329272727,55.398910745454536,265.9110625454545
5,BT,590.0,6130.0,-163.64255612727274,55.3063486,45.558398454545454
5,BT,590.0,6120.0,-163.64361264444446,55.22224383333333,18.899500222222223
6,BT,550.0,6100.0,-164.2252847,55.084100649999996,39.6699325
6,BT,550.0,6110.0,-164.22501603,55.1344127,248.9351549
6,BT,550.0,6120.0,-164.2259048363636,55.22148380000001,187.85722045454548
6,BT,550.0,6130.0,-164.2276150090909,55.312576018181815,127.34258127272727
6,BT,550.0,6140.0,-164.22774101818183,55.40485073636364,163.56169372727274
6,BT,550.0,6150.0,-164.22926370000002,55.49291607,47.5207911
6,BT,550.0,6160.0,-164.23000964545454,55.58110014545454,2.2803492727272725
6,BT,550.0,6170.0,-164.2299533090909,55.673397400000006,0.3791691818181819
6,BT,550.0,6180.0,-164.23052590909094,55.765714809090916,2.6288726363636363
6,BT,550.0,6190.0,-164.23124470000002,55.853802769999994,0.8071955
6,BT,550.0,6200.0,-164.23162485454543,55.94190164545454,6.997141
6,BT,550.0,6210.0,-164.2322025090909,56.03418562727273,1.0457661818181818
6,BT,550.0,6220.0,-164.23436705833333,56.12530825833334,7.6115955
6,BT,550.0,6230.0,-164.2334124,56.212103230000004,14.646832
6,BT,550.0,6240.0,-164.2342749818182,56.30005891818182,18.108411818181818
6,BT,550.0,6250.0,-164.23444024545455,56.39222132727273,4.07441890909091
6,BT,550.0,6260.0,-164.23517618181816,56.48434438181818,0.3187930909090909
6,BT,550.0,6270.0,-164.23669888,56.57229606999999,0.8092514000000002
6,BT,550.0,6280.0,-164.23848245454545,56.66020915454545,0.6682994545454546
6,BT,550.0,6290.0,-164.2394690818182,56.75230799090909,1.8380444545454544
6,BT,550.0,6300.0,-164.2373625666667,56.84505811666667,0.19598475
6,BT,550.0,6310.0,-164.23846217272728,56.934197127272725,0.014328090909090908
6,BT,550.0,6320.0,-164.23922123999998,57.02215403999999,0.0036312
6,BT,550.0,6330.0,-164.23981813636365,57.11017675454545,0.0
6,BT,550.0,6340.0,-164.2401623,57.1604787,0.0
7,BT,510.0,6340.0,-164.8540185,57.16731115,0.124706
7,BT,510.0,6330.0,-164.85209939090907,57.11300125454545,0.04388418181818182
7,BT,510.0,6320.0,-164.8494528818182,57.02102138181818,0.0034525454545454542
7,BT,510.0,6310.0,-164.84734587000003,56.933265459999994,0.093222
