Column1,survey,event_id,latitude,longitude,lla,utm,x,y
49,201006,65,59.06644167,-173.98407333,"LLA(lat=59.06644167°, lon=-173.98407333°, alt=0.0)","UTM(-14159.8283170184, 6.582136122365735e6, 0.0)",-14.1598283170184,6582.136122365735
50,201006,66,58.72765,-173.90880333,"LLA(lat=58.72765°, lon=-173.90880333°, alt=0.0)","UTM(-14903.269328571914, 6.544047486459322e6, 0.0)",-14.903269328571914,6544.0474864593225
51,201006,67,58.32545167,-173.82777,"LLA(lat=58.32545167°, lon=-173.82777°, alt=0.0)","UTM(-16136.515694964677, 6.49888781920382e6, 0.0)",-16.13651569496468,6498.88781920382
53,201006,69,59.18247167,-174.67521333,"LLA(lat=59.18247167°, lon=-174.67521333°, alt=0.0)","UTM(-51662.54088763753, 6.600517721111832e6, 0.0)",-51.662540887637526,6600.5177211118325
54,201006,70,59.68756333,-174.84544,"LLA(lat=59.68756333°, lon=-174.84544°, alt=0.0)","UTM(-52978.322608964634, 6.657785032960688e6, 0.0)",-52.97832260896463,6657.785032960688
55,201006,71,59.86054167,-174.902655,"LLA(lat=59.86054167°, lon=-174.902655°, alt=0.0)","UTM(-53291.8191988013, 6.677385482540488e6, 0.0)",-53.2918191988013,6677.385482540488
56,201006,72,60.77522167,-175.885245,"LLA(lat=60.77522167°, lon=-175.885245°, alt=0.0)","UTM(-91012.75362942577, 6.786964900559723e6, 0.0)",-91.01275362942577,6786.964900559723
57,201006,73,60.59887,-175.82527,"LLA(lat=60.59887°, lon=-175.82527°, alt=0.0)","UTM(-91021.31947911228, 6.766966394925251e6, 0.0)",-91.02131947911228,6766.966394925251
58,201006,74,60.56549333,-175.83676667,"LLA(lat=60.56549333°, lon=-175.83676667°, alt=0.0)","UTM(-92259.09536588797, 6.763387813663583e6, 0.0)",-92.25909536588797,6763.387813663583
59,201006,75,60.217715,-175.68975333,"LLA(lat=60.217715°, lon=-175.68975333°, alt=0.0)","UTM(-90573.45581827115, 6.723681754994973e6, 0.0)",-90.57345581827114,6723.681754994973
60,201006,76,59.85953,-175.561455,"LLA(lat=59.85953°, lon=-175.561455°, alt=0.0)","UTM(-89915.17276675219, 6.6829880811716905e6, 0.0)",-89.91517276675219,6682.98808117169
61,201006,77,59.514995,-175.44025333,"LLA(lat=59.514995°, lon=-175.44025333°, alt=0.0)","UTM(-89236.38210448879, 6.64385743267304e6, 0.0)",-89.23638210448878,6643.8574326730395
62,201006,78,58.42995833,-174.435115,"LLA(lat=58.42995833°, lon=-174.435115°, alt=0.0)","UTM(-49868.44376697682, 6.515289924329991e6, 0.0)",-49.868443766976824,6515.289924329992
63,201006,79,56.74609,-173.36560167,"LLA(lat=56.74609°, lon=-173.36560167°, alt=0.0)","UTM(-10919.361403085524, 6.320402833353328e6, 0.0)",-10.919361403085524,6320.402833353328
64,201006,80,58.932685,-175.90625,"LLA(lat=58.932685°, lon=-175.90625°, alt=0.0)","UTM(-126023.45268475078, 6.583829565175194e6, 0.0)",-126.02345268475078,6583.829565175194
65,201006,81,59.58734667,-176.17862167,"LLA(lat=59.58734667°, lon=-176.17862167°, alt=0.0)","UTM(-129296.07482723624, 6.658653941114378e6, 0.0)",-129.29607482723625,6658.6539411143785
66,201006,82,59.831145,-176.204345,"LLA(lat=59.831145°, lon=-176.204345°, alt=0.0)","UTM(-126135.41750047717, 6.685790544140811e6, 0.0)",-126.13541750047717,6685.790544140811
67,201006,83,59.98865333,-176.293215,"LLA(lat=59.98865333°, lon=-176.293215°, alt=0.0)","UTM(-128068.20267451217, 6.704007976151541e6, 0.0)",-128.06820267451218,6704.007976151541
68,201006,84,60.20260667,-176.367315,"LLA(lat=60.20260667°, lon=-176.367315°, alt=0.0)","UTM(-128050.8001905774, 6.728306598273502e6, 0.0)",-128.0508001905774,6728.306598273502
69,201006,85,60.51701667,-176.48645667,"LLA(lat=60.51701667°, lon=-176.48645667°, alt=0.0)","UTM(-128467.85628131207, 6.764105301895933e6, 0.0)",-128.46785628131207,6764.105301895933
70,201006,86,60.98559667,-176.66059667,"LLA(lat=60.98559667°, lon=-176.66059667°, alt=0.0)","UTM(-128632.4984535703, 6.817408843614672e6, 0.0)",-128.6324984535703,6817.408843614672
71,201006,87,61.41248667,-176.82506333,"LLA(lat=61.41248667°, lon=-176.82506333°, alt=0.0)","UTM(-128808.32038363046, 6.866007992910424e6, 0.0)",-128.80832038363047,6866.007992910424
76,201006,92,61.17898167,-177.46794,"LLA(lat=61.17898167°, lon=-177.46794°, alt=0.0)","UTM(-167681.4175744775, 6.846741005540911e6, 0.0)",-167.6814175744775,6846.741005540911
77,201006,93,60.698175,-177.26812333,"LLA(lat=60.698175°, lon=-177.26812333°, alt=0.0)","UTM(-167125.37680037518, 6.791807698118687e6, 0.0)",-167.12537680037516,6791.807698118687
78,201006,94,60.57235833,-177.21772333,"LLA(lat=60.57235833°, lon=-177.21772333°, alt=0.0)","UTM(-167019.66440258594, 6.777448199657452e6, 0.0)",-167.01966440258593,6777.448199657452
79,201006,95,60.079175,-177.007935,"LLA(lat=60.079175°, lon=-177.007935°, alt=0.0)","UTM(-165691.51744305226, 6.72102197911953e6, 0.0)",-165.69151744305225,6721.0219791195295
80,201006,96,60.06570667,-176.97866167,"LLA(lat=60.06570667°, lon=-176.97866167°, alt=0.0)","UTM(-164353.59281062894, 6.719242212963083e6, 0.0)",-164.35359281062892,6719.242212963083
81,201006,97,59.71417833,-176.86973167,"LLA(lat=59.71417833°, lon=-176.86973167°, alt=0.0)","UTM(-165397.71873575763, 6.679420981827189e6, 0.0)",-165.39771873575762,6679.420981827189
82,201006,98,59.526155,-176.78929833,"LLA(lat=59.526155°, lon=-176.78929833°, alt=0.0)","UTM(-164651.443155932, 6.6578930852745585e6, 0.0)",-164.65144315593201,6657.893085274559
83,201006,99,59.397995,-177.40363,"LLA(lat=59.397995°, lon=-177.40363°, alt=0.0)","UTM(-201695.2092990129, 6.650135306168034e6, 0.0)",-201.6952092990129,6650.135306168034
84,201006,100,59.57550833,-177.47889167,"LLA(lat=59.57550833°, lon=-177.47889167°, alt=0.0)","UTM(-202194.84127405495, 6.6704735387593955e6, 0.0)",-202.19484127405497,6670.4735387593955
85,201006,101,60.24856333,-177.76302333,"LLA(lat=60.24856333°, lon=-177.76302333°, alt=0.0)","UTM(-203545.89433792082, 6.7475474096612325e6, 0.0)",-203.54589433792083,6747.547409661232
86,201006,102,60.74904,-177.970845,"LLA(lat=60.74904°, lon=-177.970845°, alt=0.0)","UTM(-203876.30760823225, 6.804790439466061e6, 0.0)",-203.87630760823225,6804.790439466061
89,201006,105,60.64035,-178.62213833,"LLA(lat=60.64035°, lon=-178.62213833°, alt=0.0)","UTM(-241389.8424224489, 6.800082157974998e6, 0.0)",-241.3898424224489,6800.082157974997
90,201006,106,60.32438167,-178.47929,"LLA(lat=60.32438167°, lon=-178.47929°, alt=0.0)","UTM(-240926.2077931884, 6.7637856276318375e6, 0.0)",-240.9262077931884,6763.785627631837
91,201006,107,59.758135,-178.22978167,"LLA(lat=59.758135°, lon=-178.22978167°, alt=0.0)","UTM(-240010.1853406733, 6.698782048072458e6, 0.0)",-240.0101853406733,6698.782048072459
96,201006,112,59.773505,-178.01003333,"LLA(lat=59.773505°, lon=-178.01003333°, alt=0.0)","UTM(-227489.4432887109, 6.698018247542553e6, 0.0)",-227.4894432887109,6698.018247542553
99,201006,1,56.52561,-161.22345,"LLA(lat=56.52561°, lon=-161.22345°, alt=0.0)","UTM(732262.6668063446, 6.270969733586981e6, 0.0)",732.2626668063447,6270.9697335869805
100,201006,2,56.53209,-161.22244833,"LLA(lat=56.53209°, lon=-161.22244833°, alt=0.0)","UTM(732284.5443454718, 6.27169377789162e6, 0.0)",732.2845443454718,6271.69377789162
101,201006,3,56.537755,-161.22191667,"LLA(lat=56.537755°, lon=-161.22191667°, alt=0.0)","UTM(732282.5112066965, 6.27232559390651e6, 0.0)",732.2825112066965,6272.325593906509
102,201006,4,56.66588,-162.42078833,"LLA(lat=56.66588°, lon=-162.42078833°, alt=0.0)","UTM(658061.9481343906, 6.283167386666478e6, 0.0)",658.0619481343906,6283.167386666478
103,201006,5,55.93230667,-162.43419167,"LLA(lat=55.93230667°, lon=-162.43419167°, alt=0.0)","UTM(660283.519664056, 6.201519309333337e6, 0.0)",660.283519664056,6201.519309333336
104,201006,6,55.936765,-162.45081667,"LLA(lat=55.936765°, lon=-162.45081667°, alt=0.0)","UTM(659226.9347961645, 6.20197690380339e6, 0.0)",659.2269347961645,6201.97690380339
105,201006,7,55.93776167,-162.46078667,"LLA(lat=55.93776167°, lon=-162.46078667°, alt=0.0)","UTM(658600.2677512069, 6.202064871154572e6, 0.0)",658.6002677512068,6202.064871154572
106,201006,8,55.723905,-163.03374833,"LLA(lat=55.723905°, lon=-163.03374833°, alt=0.0)","UTM(623494.7698743311, 6.177102953392663e6, 0.0)",623.494769874331,6177.102953392663
