age,i,n_age,biomass_age
06,44,4.73768279546235e7,4.115527962138371e7
03,44,9.962618148789281e6,3.0434443311482267e6
10,45,8.556273370511454e7,1.1480971760591576e8
08,45,1.0222855320969697e7,1.0663465573695466e7
07,45,5.154268910611219e7,4.814078597186444e7
05,45,4.8648248535684444e7,3.404088471898221e7
02,45,1.8457111382099742e8,1.2716834164525304e7
04,45,3.187167513350756e7,1.7868071589577056e7
01,45,1.9267226751233916e9,4.481717035771835e7
06,45,5.294960415426824e7,4.439975536712603e7
09,45,1.9256628112211745e7,2.1649118345556475e7
03,45,1.5822662156029673e7,5.194359870982667e6
01,46,1.3053420356699953e9,1.8502126401670106e7
08,46,2.041694601108913e7,2.1775140642004505e7
05,46,4.2709324885561235e7,2.9869132719526846e7
06,46,5.668230108175162e7,4.725664530295057e7
02,46,1.7385274362397334e8,1.1781129828012373e7
07,46,2.8512316963274132e7,2.7116319121709496e7
10,46,7.262103038687828e7,1.0237209362203549e8
03,46,9.306742895725656e6,2.911584348979477e6
04,46,2.346429030626778e7,1.2966703623037623e7
09,46,2.0508338018809766e7,2.4497145795025397e7
10,47,7.96467887483052e7,1.0985431215344264e8
02,47,1.2717660006367697e8,9.324923631344976e6
09,47,2.5339632219569497e7,3.020905024735202e7
04,47,3.3239188803962693e7,1.77032960838331e7
03,47,5.648609179704833e6,1.8079883714847285e6
06,47,8.072868543356563e7,6.699452525892924e7
01,47,1.253818051445755e9,3.425937275381992e7
07,47,1.444329741876926e7,1.4233720325557865e7
05,47,5.120388551786296e7,3.45901781168903e7
08,47,1.777542549459239e7,1.8754420925537575e7
04,48,2.518617259846996e7,1.3556574356893558e7
10,48,8.004797091640161e7,1.121463194198294e8
06,48,6.292886436016207e7,5.436251185036918e7
02,48,1.7828237219161963e8,1.2121101589116024e7
05,48,6.0234096208279155e7,4.232836115768487e7
01,48,1.5974133465030992e9,4.387411752252375e7
03,48,5.527627340432887e6,1.732831250538859e6
08,48,2.6546761924565356e7,2.8490751862119734e7
07,48,2.3960238834796358e7,2.2776408189923666e7
09,48,1.2107253614394803e7,1.4308123943242786e7
06,49,4.8029785216781676e7,3.925676041481801e7
03,49,8.53773560033974e6,2.749868476449957e6
10,49,6.855598355858494e7,9.524416369065996e7
01,49,1.9413857733167717e9,3.687875853315026e7
08,49,2.288955906678702e7,2.354535351921171e7
07,49,4.461134048878388e7,4.233181588073621e7
09,49,1.9383667288997363e7,2.302580242336392e7
05,49,6.430159523642936e7,4.343731959940923e7
02,49,1.8161864397204658e8,1.347639492164489e7
04,49,1.962923638838555e7,1.0601719510284415e7
01,50,1.4097851659339514e9,3.6977075807374075e7
10,50,8.651812320820396e7,1.1958798294423838e8
06,50,7.183200796441755e7,6.072539014633972e7
09,50,9.5838865310748e6,1.13973976222081e7
02,50,2.3173719338630125e8,1.491401706924144e7
04,50,1.8076820131814837e7,9.947945314912127e6
05,50,5.568971023087775e7,3.9212279346709214e7
07,50,3.586613573466897e7,3.3868026725492135e7
03,50,1.1961008615200331e7,3.922828041846178e6
08,50,1.899932297924557e7,2.0324534497735705e7
07,51,3.415283187655577e7,3.193696428872464e7
04,51,2.5916661940197166e7,1.4479679020013902e7
06,51,3.546843073859728e7,2.959466682330979e7
01,51,1.4693733791126623e9,3.483848410597794e7
08,51,1.9469230348156177e7,2.059561666151411e7
05,51,6.351365309602436e7,4.489783492815369e7
03,51,1.1577515085515872e7,3.650683041973492e6
09,51,1.8353990764042757e7,2.106402975196897e7
10,51,8.669355930976069e7,1.194553907682541e8
02,51,1.5574979091564727e8,1.1218175754544973e7
10,52,8.423723354826395e7,1.1684356722244917e8
03,52,1.0345376665672502e7,3.282891907262222e6
05,52,6.939399546033593e7,4.9364339370222226e7
06,52,5.103261564906157e7,4.347576041538485e7
08,52,2.645943607261112e7,2.743476973276476e7
07,52,2.6857357717922032e7,2.6033639798961554e7
02,52,1.4462227923714897e8,9.852077078490896e6
09,52,1.793419400955579e7,2.093678560809303e7
01,52,1.4049669540413206e9,2.685450340053693e7
04,52,2.5688556595466446e7,1.4520933178626738e7
05,53,5.7620212228836425e7,4.039728781485844e7
08,53,1.7152980669119272e7,1.8234113767731156e7
10,53,8.374006122529697e7,1.1649460587957366e8
09,53,2.5342486487179477e7,2.993748116428526e7
01,53,1.898115815232981e9,2.7912610708134074e7
03,53,7.817004101427357e6,2.328481803397691e6
07,53,2.347763029819395e7,2.2494088195509475e7
04,53,3.2458161209604315e7,1.757827026495818e7
06,53,5.9330785200865015e7,5.045997645927379e7
02,53,1.7706878091186666e8,1.2926193315445885e7
01,54,1.6617276798344364e9,2.4887292479758076e7
03,54,9.669363651184672e6,3.3962774048003173e6
04,54,3.819997755458856e7,2.250543891924093e7
07,54,3.4000508734910876e7,3.212444663230841e7
