year,variable,age,mean,std,cv,upper,lower
2010,n,3,9.912109579751499e8,1.353582169792375e8,0.13655843480155613,1.2619273919336247e9,7.204945240166749e8
2010,n,4,2.012232202032049e9,1.7066522862529334e8,0.08481388403035563,2.3535626592826357e9,1.6709017447814622e9
2010,n,5,4.003220696866615e8,2.93873505448542e7,0.07340926911138362,4.5909677077636987e8,3.415473685969531e8
2010,n,6,5.712134490844285e7,6.14620875833474e6,0.10759916049221553,6.941376242511232e7,4.4828927391773365e7
2010,n,7,1.2719108078622278e7,2.4273333328270735e6,0.19084147393218787,1.7573774744276427e7,7.864441412968131e6
2010,n,8,2.0019720276363824e7,3.578163220300966e6,0.17873192886343697,2.7176046716965757e7,1.2863393835761892e7
2010,n,9,4.5850775272292815e7,4.743583928496054e6,0.10345700591375948,5.5337943129284926e7,3.6363607415300705e7
2010,n,10,2.1115808754451208e7,3.5389566136056227e6,0.16759749317485229,2.8193721981662452e7,1.4037895527239963e7
2010,biomass,1,1.838184594651305e8,4.843585584323156e7,0.26349832320523614,2.806901711515936e8,8.694674777866739e7
2010,biomass,2,8.367260800571979e8,1.4309253432589072e8,0.17101478935150322,1.1229111487089794e9,5.505410114054165e8
2010,biomass,3,2.276428461285528e8,2.789303727611404e7,0.12252982138679855,2.834289206807809e8,1.718567715763247e8
2010,biomass,4,8.926630464195013e8,7.537854176929972e7,0.0844423235303011,1.0434201299581008e9,7.419059628809018e8
2010,biomass,5,2.3811975448423904e8,1.7105631015210893e7,0.07183625336865153,2.7233101651466084e8,2.0390849245381725e8
2010,biomass,6,4.49618083943017e7,5.053608298407383e6,0.11239779890721344,5.5069024991116464e7,3.485459179748693e7
2010,biomass,7,1.3417062566144703e7,2.5955157472129203e6,0.19344888155788956,1.8608094060570545e7,8.226031071718862e6
2010,biomass,8,2.7007918428649362e7,4.872687238439274e6,0.18041698590404667,3.675329290552791e7,1.7262543951770812e7
