i,species_code,age,n,biomass
34,21740,8,70721208361.6607,53583108832.636665
34,21740,9,32959639499.493973,24859069118.5939
34,21740,10,21552851606.545673,25562408578.453503
35,21740,1,103618261366.58006,4581581234.99706
35,21740,2,101906453359.30087,10923841099.819868
35,21740,3,315329881399.67114,97604202821.15102
35,21740,4,3933557247357.7646,1773480665217.6265
35,21740,5,826991960031.9907,418929873900.7714
35,21740,6,248169934346.3862,135731308394.11502
35,21740,7,129330199408.60027,83909122357.28752
35,21740,8,170884914747.0396,130067173351.39566
35,21740,9,107832333763.93771,97967961765.80907
35,21740,10,154195912015.45242,177361305500.93625
36,21740,1,18629491844.36638,912579249.7670102
36,21740,2,20282073797.39692,2411573849.819452
36,21740,3,102148629828.7193,27546280269.49922
36,21740,4,1055794093889.6152,475205950772.5567
36,21740,5,306948533058.2109,170185590913.7872
36,21740,6,56435405521.13715,32969188750.0227
36,21740,7,30567076221.423435,22792195360.022606
36,21740,8,52332055023.2797,40093001438.944336
36,21740,9,25188278532.533764,22879444465.958126
36,21740,10,13718894874.594389,19203544590.127716
37,21740,1,1312383697.2441294,54412628.010013536
37,21740,2,4739676890.727646,974039066.0210556
37,21740,3,21496073704.054337,6432297843.7353945
37,21740,4,183457536279.44485,73637586003.00995
37,21740,5,29416183099.086143,15086985999.246334
37,21740,6,5892900536.758013,3353886821.2588496
37,21740,7,4871609540.982351,3238602489.1259346
37,21740,8,5375456796.994304,3987448274.3677306
37,21740,9,3188651975.614029,2486668989.509557
37,21740,10,1189413936.2109454,1612695274.5411994
38,21740,1,20685661129.445766,1028771859.031188
38,21740,2,17806802778.40244,2389235928.5991077
38,21740,3,88866377486.6685,25679401923.916996
38,21740,4,970641404614.6895,409391646150.715
38,21740,5,266135100797.36557,133757332470.46584
38,21740,6,61477459651.25443,35067501021.523994
38,21740,7,36197470026.49224,24169406865.12082
38,21740,8,47536469055.183426,36544204860.080185
38,21740,9,21989748152.31291,16399377722.565035
38,21740,10,10800546963.33763,16468869131.390816
39,21740,1,12853445844.674467,622039558.8970381
39,21740,2,21216659819.44525,3473699281.785249
39,21740,3,108194200814.48376,33140129930.42549
39,21740,4,802244484713.6566,316706600280.2575
39,21740,5,159904041777.93195,76499793762.33063
39,21740,6,30358023467.748566,16118313760.689497
39,21740,7,29102182466.294765,19903704411.561012
39,21740,8,23516397691.318386,16456649724.976818
39,21740,9,15318996860.4788,13746178824.387194
39,21740,10,5029263999.71283,8033850052.566755
40,21740,1,1529919999.0227878,58945410.91950889
40,21740,2,4480610824.512839,809851968.8209101
40,21740,3,22612539700.09509,6528167721.545642
40,21740,4,183288878179.88617,71481349705.711
40,21740,5,25621037441.867233,12537872960.537266
40,21740,6,5027269007.250641,2719164933.902881
40,21740,7,3993759989.3726654,2597514583.969048
40,21740,8,3631253275.376621,2405815310.8136168
40,21740,9,1773433417.0433156,1278964901.9126458
40,21740,10,826524541.1354594,817220516.0026015
41,21740,1,2134624409.4475567,91715809.68206325
41,21740,2,7169613922.628849,1134303168.432325
41,21740,3,25325071443.864334,7304071638.66372
41,21740,4,192577561073.98148,76744528213.03532
41,21740,5,32166944877.104,16034198992.605051
41,21740,6,9659524855.987728,5592226806.549019
41,21740,7,4373619458.833331,3028541555.3612213
41,21740,8,8076040443.3047,5669886201.758458
41,21740,9,1524591268.030178,1133945166.7797341
41,21740,10,757723171.3139875,928765422.8762798
42,21740,1,1128910012.0416255,39923910.38371762
42,21740,2,6568341970.748989,1257840073.6247635
42,21740,3,27976628310.708675,7812323052.851664
42,21740,4,188745811128.55396,71847818519.23576
42,21740,5,19669991768.060303,9825227372.31615
42,21740,6,3526771319.725088,2010995077.475633
42,21740,7,2383426364.496226,1616348064.1679215
42,21740,8,3144118004.4066315,2417179615.163694
42,21740,9,1299975544.5864315,1017093173.7892313
42,21740,10,473533740.3749502,502489132.2193808
43,21740,1,5793175308.03586,244265751.10156205
43,21740,2,14239088483.111443,2700558636.755339
43,21740,3,53265333501.732864,14464018041.593096
43,21740,4,364037357089.59143,141482709371.71942
43,21740,5,57093417002.16591,28250256065.239086
43,21740,6,11540468369.877247,6341705566.829654
43,21740,7,7482028698.452704,5007626464.06571
43,21740,8,11836566638.352169,8797513552.356218
43,21740,9,6086667148.954651,4710743472.942856
43,21740,10,2793485930.8185167,3139137588.7277822
44,21740,1,2345128138.1897674,84025458.54222818
44,21740,2,26125284238.50549,6264386327.887522
44,21740,3,230664349109.5042,65397159546.46157
44,21740,4,1044650697956.1954,357193770067.23706
44,21740,5,71191669667.26863,31287480788.57534
44,21740,6,10555368050.178976,5921551670.820138
44,21740,7,6104141624.888106,3918422115.5372086
44,21740,8,6122172242.373848,4448484871.559895
44,21740,9,1457828728.3008661,1286327486.0195272
44,21740,10,722101991.3424069,923121767.1934823
45,21740,1,1905909047.6257498,80687727.43111323
45,21740,2,8292142927.829061,1750680456.6980853
45,21740,3,35430805752.32825,10769757640.94275
45,21740,4,295081989585.99475,110820064793.78647
45,21740,5,34850585818.28937,16332411044.654545
45,21740,6,6231454280.142908,3551307109.620413
45,21740,7,4949510908.707488,3558644946.8969903
45,21740,8,5953089253.820356,4484357608.094221
45,21740,9,2303337316.005143,1776173550.5929244
45,21740,10,1520521154.889206,1733707392.2889905
