transect,interval,lat,lon,class,nasc,x,y
7,20180613063802,55.6137046,-164.5668752,PK1,270.79814,527.2817741929706,6163.1724118170905
7,20180613064024,55.605412,-164.5667104,PK1,296.496277,527.2979138932683,6162.249601184459
7,20180613064246,55.5970313,-164.5666019,PK1,397.443182,527.3105708777732,6161.316965152925
7,20180613064507,55.5886949,-164.5665783,PK1,202.792699,527.3178483424776,6160.389227105585
7,20180613064727,55.5803842,-164.5664804,PK1,213.273675,527.32979196631,6159.464379671335
7,20180613064948,55.5719909,-164.5663788,PK1,214.155508,527.3420283021476,6158.530342548299
7,20180613065209,55.5636711,-164.5662796,PK1,133.654792,527.3540643446129,6157.604485460852
7,20180613065429,55.5553447,-164.5661691,PK1,307.290453,527.3668198534707,6156.67789959891
7,20180613065651,55.5469844,-164.5661441,PK1,329.598907,527.3742066878408,6155.747508670642
7,20180613065913,55.538643,-164.5660817,PK1,470.474977,527.3839407117088,6154.819237091396
7,20180613070134,55.5302991,-164.566096,PK1,535.995866,527.3888361381186,6153.890658336811
7,20180613070357,55.5219296,-164.5660983,PK1,510.702063,527.3945059982727,6152.9592366182205
7,20180613070618,55.5135892,-164.5662083,PK1,638.721443,527.3933539288734,6152.0310121845
7,20180613070841,55.5052299,-164.5663168,PK1,860.154343,527.3923061985004,6151.100686281319
7,20180613071104,55.4968841,-164.5659786,PK1,715.957037,527.4194658536098,6150.172040104973
7,20180613071327,55.4885502,-164.5656376,PK1,1008.037839,527.4468026104246,6149.244720747581
7,20180613071550,55.4802353,-164.5653678,PK1,612.232694,527.4696347053887,6148.319489107687
7,20180613071814,55.4718809,-164.5650867,PK1,597.34805,527.4932152138879,6147.389867464948
7,20180613072037,55.4635584,-164.564835,PK1,843.186244,527.514921522746,6146.463785592634
7,20180613072302,55.4551996,-164.5646006,PK1,607.751271,527.5355651543705,6145.533658522304
7,20180613072527,55.4468352,-164.5643478,PK1,523.370657,527.5573822576396,6144.6029168806845
7,20180613072751,55.4385168,-164.5643321,PK1,463.010764,527.5641725357766,6143.677201782708
7,20180613073015,55.4301839,-164.5644253,PK1,409.606398,527.5640813746963,6142.749831156578
7,20180613073239,55.4218345,-164.5644767,PK1,571.226253,527.5666443625945,6141.820642139719
7,20180613073503,55.4134594,-164.5644697,PK1,761.807546,527.5729204932,6140.888617489952
7,20180613073726,55.4051419,-164.5645454,PK1,149.439424,527.5739193982035,6139.962971384943
7,20180613141837,55.4034901,-164.5643817,PK1,1056.773815,527.5854356487954,6139.779215217012
7,20180613142112,55.3951186,-164.5644791,PK1,1165.318029,527.5850969844738,6138.847552619862
7,20180613142340,55.3867707,-164.56438,PK1,870.586408,527.5971871786509,6137.918595502312
7,20180613142608,55.3783913,-164.5642628,PK1,1040.376021,527.6104482602871,6136.9861413777135
7,20180613142834,55.3700331,-164.5641575,PK1,911.081733,527.6229429201275,6136.056043068775
7,20180613143101,55.3616741,-164.5640583,PK1,1361.072828,527.6350536697487,6135.125854603439
7,20180613143328,55.3533259,-164.5639967,PK1,1526.459971,527.6447749393644,6134.196854374233
7,20180613143555,55.3449587,-164.563915,PK1,1375.511678,527.6557851962941,6133.265749004565
7,20180613143820,55.3366422,-164.5638577,PK1,1325.337605,527.665213992078,6132.340277334374
7,20180613144047,55.3282683,-164.5637285,PK1,769.080329,527.6792453809969,6131.408447801486
7,20180613144312,55.3199535,-164.5635581,PK1,603.038306,527.6958528970086,6130.483212819106
7,20180613144538,55.3116248,-164.5634133,PK1,656.073922,527.7108491802196,6129.556422115193
7,20180613144805,55.3032477,-164.563235,PK1,2971.911926,527.7280092103671,6128.6242599180805
