specimen_id,species_code,event_id,organism_weight,fork_length
25043,21740,117,0.734,46.0
25044,21740,117,0.378,39.0
25045,21740,117,0.604,46.0
25046,21740,117,0.694,48.0
25047,21740,117,0.738,48.0
25048,21740,117,0.78,50.0
25049,21740,117,0.912,51.0
25050,21740,117,0.516,44.0
25051,21740,117,0.468,42.0
25052,21740,117,0.556,44.0
25053,21740,117,0.604,44.0
25078,21740,117,0.634,46.0
25079,21740,117,0.822,49.0
25080,21740,117,0.522,44.0
25081,21740,117,0.708,46.0
25082,21740,117,0.042,20.0
25083,21740,117,0.018,15.0
25084,21740,117,1.024,52.0
25085,21740,117,0.832,52.0
25906,21740,119,0.074,21.0
25907,21740,119,0.048,19.0
25908,21740,119,0.066,22.0
25909,21740,119,0.066,21.0
25910,21740,119,0.144,28.0
25911,21740,119,0.068,21.0
25912,21740,119,0.03,17.0
25913,21740,119,0.064,21.0
25914,21740,119,0.052,20.0
25965,21740,119,0.286,34.0
25966,21740,119,0.562,43.0
25967,21740,119,0.534,43.0
25968,21740,119,0.312,36.0
28022,21740,129,1.028,51.0
28023,21740,129,0.352,37.0
28024,21740,129,0.43,39.0
28025,21740,129,1.088,55.0
28026,21740,129,0.694,46.0
28027,21740,129,0.636,46.0
28028,21740,129,0.524,44.0
28029,21740,129,0.976,52.0
28030,21740,129,0.566,44.0
28031,21740,129,0.738,47.0
28032,21740,129,0.81,52.0
28036,21740,129,0.59,43.0
28037,21740,129,0.654,45.0
28038,21740,129,1.16,54.0
28039,21740,129,0.938,52.0
28040,21740,129,0.616,45.0
28041,21740,129,0.75,46.0
28042,21740,129,0.652,46.0
28043,21740,129,0.53,47.0
28044,21740,129,0.706,47.0
28045,21740,129,0.612,45.0
28046,21740,129,0.562,42.0
28047,21740,129,0.376,37.0
28048,21740,129,0.506,41.0
28049,21740,129,0.644,45.0
28050,21740,129,0.668,46.0
28051,21740,129,2.328,68.0
25086,21740,117,0.618,46.0
25087,21740,117,1.242,58.0
25088,21740,117,0.812,53.0
25089,21740,117,0.674,45.0
25090,21740,117,0.974,52.0
25091,21740,117,0.772,49.0
25092,21740,117,0.574,44.0
25093,21740,117,0.892,52.0
25094,21740,117,0.7,47.0
25095,21740,117,0.82,51.0
25096,21740,117,0.892,49.0
25097,21740,117,0.696,46.0
25098,21740,117,0.394,42.0
25099,21740,117,0.686,47.0
25100,21740,117,0.986,53.0
