survey,haul_id,latitude,longitude,lla,utm,x,y
202207,MACE-1-7,56.2310566667,-166.38441,"LLA(lat=56.23105667°, lon=-166.384410000°, alt=0.0)","UTM(414176.402212065353524, 6232658.0455014789, 0.0)",414.17640221206534,6232.658045501479
202207,MACE-1-1,56.5442033333,-162.774665,"LLA(lat=56.54420333°, lon=-162.774665000°, alt=0.0)","UTM(636819.237536304863170, 6268867.8344634222, 0.0)",636.8192375363049,6268.867834463422
202207,MACE-1-3,55.4613033333,-163.988528333,"LLA(lat=55.46130333°, lon=-163.988528333°, alt=0.0)","UTM(563956.733098763390444, 6146591.7980895601, 0.0)",563.9567330987634,6146.59179808956
202207,MACE-1-26,58.3744,-174.182205,"LLA(lat=58.37440000°, lon=-174.182205000°, alt=0.0)","UTM(-36034.583404178498313, 6507090.0817102324, 0.0)",-36.0345834041785,6507.090081710232
202207,MACE-1-27,58.7857966667,-174.308311667,"LLA(lat=58.78579667°, lon=-174.308311667°, alt=0.0)","UTM(-36998.931674470193684, 6553633.4258190580, 0.0)",-36.99893167447019,6553.633425819058
202207,MACE-1-28,59.3304716667,-174.448578333,"LLA(lat=59.33047167°, lon=-174.448578333°, alt=0.0)","UTM(-36455.693991780281067, 6615028.8796521993, 0.0)",-36.45569399178028,6615.028879652199
202207,MACE-1-8,56.6191666667,-166.407058333,"LLA(lat=56.61916667°, lon=-166.407058333°, alt=0.0)","UTM(413656.417911286465824, 6275880.0090739019, 0.0)",413.65641791128644,6275.880009073902
202207,MACE-1-40,60.6217566667,-178.873315,"LLA(lat=60.62175667°, lon=-178.873315000°, alt=0.0)","UTM(-255357.278233247809112, 6800928.2727603735, 0.0)",-255.3572782332478,6800.928272760373
202207,MACE-1-39,60.66989,-177.539858333,"LLA(lat=60.66989000°, lon=-177.539858333°, alt=0.0)","UTM(-182380.587667613057420, 6791507.5712623354, 0.0)",-182.38058766761307,6791.507571262336
202207,MACE-1-46,60.4165683333,-178.093581667,"LLA(lat=60.41656833°, lon=-178.093581667°, alt=0.0)","UTM(-217873.807398091536015, 6769603.3852304509, 0.0)",-217.87380739809154,6769.603385230451
202207,MACE-1-6,54.6335683333,-165.15414,"LLA(lat=54.63356833°, lon=-165.154140000°, alt=0.0)","UTM(490050.239627850882243, 6054027.4230125817, 0.0)",490.0502396278509,6054.0274230125815
202207,MACE-1-24,57.2406333333,-172.655425,"LLA(lat=57.24063333°, lon=-172.655425000°, alt=0.0)","UTM(38527.264242321136408, 6370159.9148194296, 0.0)",38.52726424232114,6370.15991481943
202207,MACE-1-43,58.7525666667,-177.47152,"LLA(lat=58.75256667°, lon=-177.471520000°, alt=0.0)","UTM(-218986.504277077270672, 6579809.1514771683, 0.0)",-218.98650427707727,6579.809151477169
202207,MACE-1-47,60.9384066667,-178.292915,"LLA(lat=60.93840667°, lon=-178.292915000°, alt=0.0)","UTM(-216898.219025340280496, 6829102.0569008002, 0.0)",-216.89821902534027,6829.102056900801
202207,MACE-1-48,61.161705,-177.628131667,"LLA(lat=61.16170500°, lon=-177.628131667°, alt=0.0)","UTM(-176556.997670876677148, 6846500.1574769914, 0.0)",-176.55699767087668,6846.500157476991
202207,GAP-94-19,57.01258,-161.56909,"LLA(lat=57.01258000°, lon=-161.569090000°, alt=0.0)","UTM(708299.482087107608095, 6324019.9286666131, 0.0)",708.2994820871077,6324.019928666613
202207,GAP-94-20,56.69727,-161.59051,"LLA(lat=56.69727000°, lon=-161.590510000°, alt=0.0)","UTM(708749.204889016458765, 6288881.7533426201, 0.0)",708.7492048890165,6288.88175334262
202207,GAP-94-21,57.02285,-162.15144,"LLA(lat=57.02285000°, lon=-162.151440000°, alt=0.0)","UTM(672908.888785507064313, 6323536.4026261484, 0.0)",672.9088887855071,6323.536402626149
202207,GAP-94-22,56.69916,-162.16955,"LLA(lat=56.69916000°, lon=-162.169550000°, alt=0.0)","UTM(673300.885015558218583, 6287477.5118778357, 0.0)",673.3008850155583,6287.477511877836
