column1,survey,event_id,eqlongitude,eqlatitude,lla,utm,x,y,edsu_idx
52,200909,79,-177.37995667,60.11694167,"LLA(lat=60.11694167°, lon=-177.37995667°, alt=0.0)","UTM(-185361.87709010567, 6.729010072229904e6, 0.0)",-185.36187709010568,6729.010072229904,2418
53,200909,80,-177.60072167,60.68017167,"LLA(lat=60.68017167°, lon=-177.60072167°, alt=0.0)","UTM(-185443.82673603296, 6.79327639942441e6, 0.0)",-185.44382673603297,6793.276399424411,3518
54,200909,81,-178.36159833,60.86060167,"LLA(lat=60.86060167°, lon=-178.36159833°, alt=0.0)","UTM(-222338.3272639364, 6.821322044455666e6, 0.0)",-222.3383272639364,6821.322044455666,2862
55,200909,82,-179.17946667,61.20182,"LLA(lat=61.20182°, lon=-179.17946667°, alt=0.0)","UTM(-257816.10143697297, 6.868060358948143e6, 0.0)",-257.816101436973,6868.060358948143,3444
56,200909,20,-165.74927667,54.38865667,"LLA(lat=54.38865667°, lon=-165.74927667°, alt=0.0)","UTM(451344.3333060567, 6.027023847045395e6, 0.0)",451.3443333060567,6027.023847045394,507
57,200909,21,-165.765025,54.38859333,"LLA(lat=54.38859333°, lon=-165.765025°, alt=0.0)","UTM(450321.6291753788, 6.0270277867104085e6, 0.0)",450.3216291753788,6027.027786710409,507
58,200909,22,-166.323905,54.16195167,"LLA(lat=54.16195167°, lon=-166.323905°, alt=0.0)","UTM(413558.23033036065, 6.002350395619518e6, 0.0)",413.55823033036063,6002.350395619518,526
59,200909,23,-166.37564,55.45777167,"LLA(lat=55.45777167°, lon=-166.37564°, alt=0.0)","UTM(413010.00155414804, 6.146593979570312e6, 0.0)",413.01000155414806,6146.5939795703125,119
60,200909,24,-166.393625,55.455555,"LLA(lat=55.455555°, lon=-166.393625°, alt=0.0)","UTM(411867.8383157435, 6.146369960175693e6, 0.0)",411.8678383157435,6146.369960175693,187
61,200909,25,-166.40433333,55.45372167,"LLA(lat=55.45372167°, lon=-166.40433333°, alt=0.0)","UTM(411186.5775447172, 6.146179576817655e6, 0.0)",411.1865775447172,6146.179576817655,187
62,200909,26,-166.42688667,56.43075667,"LLA(lat=56.43075667°, lon=-166.42688667°, alt=0.0)","UTM(412004.08456348116, 6.254936369897878e6, 0.0)",412.0040845634812,6254.936369897878,841
63,200909,27,-167.06620167,56.56853167,"LLA(lat=56.56853167°, lon=-167.06620167°, alt=0.0)","UTM(373044.45577049116, 6.271269273239141e6, 0.0)",373.04445577049114,6271.2692732391415,699
64,200909,28,-167.06094667,56.56931833,"LLA(lat=56.56931833°, lon=-167.06094667°, alt=0.0)","UTM(373369.91781513655, 6.2713471045851065e6, 0.0)",373.36991781513655,6271.3471045851065,699
