region,INTERVAL,lat,lon,biomass_ton,numbers_millions
East of 170,20240611144852,56.248638299999996,-161.57837695,270.0863113394131,0.4191447993941073
East of 170,20240611145117,56.2569064,-161.5777663,75.7124786114364,0.11750491161460581
East of 170,20240611145341,56.26523505,-161.57713035,184.5808486110406,0.28662937393770105
East of 170,20240611145607,56.27355125,-161.57655455,142.01762693531163,0.2195970460216194
East of 170,20240611145832,56.2818418,-161.57601365,98.63727444321235,0.15270969430776238
East of 170,20240611150056,56.290127549999994,-161.5753736,100.08533681580732,0.1492461020426233
East of 170,20240611150322,56.29842275,-161.57473645,67.00894949821307,0.10189421827980931
East of 170,20240611150547,56.306733550000004,-161.57417075,55.43886139474627,0.0833161827535669
East of 170,20240611150812,56.31503875,-161.57359780000002,61.49563238745483,0.09351376784726434
East of 170,20240611151036,56.32328565,-161.57299849999998,2.3406743007614956,0.0034318074071056355
East of 170,20240611151259,56.33162435,-161.5724449,65.1047533026575,0.09607836399441705
East of 170,20240611151524,56.3399011,-161.5720549,8.874817317751619,0.013408553017227766
East of 170,20240611151746,56.3481417,-161.57160775,43.27952388195816,0.06705148923716905
East of 170,20240611152010,56.3564604,-161.57104255000002,25.215752264183116,0.03829462770619896
East of 170,20240611152234,56.36474235,-161.57035100000002,101.15846544210916,0.1565946374388663
East of 170,20240611152457,56.373048850000004,-161.56947674999998,212.45609774795352,0.3294894014408419
East of 170,20240611152721,56.3813348,-161.56862215,254.6513557140169,0.39557063376347523
East of 170,20240611152945,56.38962545,-161.5678422,448.12298701247374,0.6959637824184955
East of 170,20240611153208,56.3978945,-161.5671489,398.9401329795131,0.6196742428565416
East of 170,20240611153432,56.4061954,-161.56656835,298.93179369868454,0.45983809312959395
East of 170,20240611153657,56.414501200000004,-161.56608465,472.7182687761873,0.7300388915179541
East of 170,20240611153920,56.42277445,-161.565625,488.8210255065345,0.7511925969441268
East of 170,20240611154145,56.4310842,-161.5651184,442.99889804026077,0.6858723012178118
East of 170,20240611154408,56.4393633,-161.5645745,752.1483614245396,1.16712313389035
East of 170,20240611154632,56.4477021,-161.56402225,621.481938004728,0.9628370781908281
East of 170,20240611154857,56.456009699999996,-161.56345575,497.0685218853161,0.7713896557467014
East of 170,20240611155120,56.464277249999995,-161.56292059999998,716.8517926314763,1.1089850550949658
East of 170,20240611155343,56.47257645,-161.56233975,609.4889405904098,0.9435687406983381
East of 170,20240611155605,56.4808423,-161.56166785,511.1976971968987,0.7914386135210645
East of 170,20240611155829,56.4891325,-161.56100665,544.1074052884281,0.8423883662789828
East of 170,20240611160053,56.4974423,-161.56040704999998,382.4670347107396,0.5900524835284519
East of 170,20240611160319,56.505699750000005,-161.55986235,237.0253171469192,0.36252318956321683
East of 170,20240611160542,56.51401545,-161.55932065000002,349.4258718243439,0.5386233108095452
East of 170,20240611160807,56.522298000000006,-161.5587387,193.10963996809426,0.29428695682052347
East of 170,20240611161030,56.5305753,-161.5581431,226.4380188281133,0.34916947874936494
East of 170,20240611161254,56.5388646,-161.55761595,272.4712889855066,0.42265071247418834
East of 170,20240611161517,56.547127950000004,-161.5570452,142.39064458175528,0.21519806998138372
East of 170,20240611161740,56.555392049999995,-161.5564233,426.1217838094532,0.6355598417500256
East of 170,20240611162003,56.56369575,-161.5558011,102.86681762845491,0.15615452238927685
East of 170,20240611162226,56.5719967,-161.55515735,111.09259596991602,0.16987807258690266
East of 170,20240611162449,56.58023945,-161.55448155,194.01735049465233,0.2935634819225046
East of 170,20240611162711,56.588490449999995,-161.55377605,125.72373383083456,0.19080943428472438
East of 170,20240611162934,56.596782149999996,-161.55313765,364.61633604478266,0.564360027162046
East of 170,20240611163157,56.60509405,-161.55257795,209.67645654194223,0.322568083187504
East of 170,20240611163421,56.6133818,-161.55198885,199.73401673749945,0.30919735652099156
East of 170,20240611163644,56.6216718,-161.55137754999998,87.35081249507348,0.1341132905181797
East of 170,20240611163909,56.629965999999996,-161.550791,159.50119272599943,0.2469751304831811
East of 170,20240611164132,56.6382483,-161.55020185,83.56150406602197,0.12703753450579228
